Id,Name
97832fa3-c577-457e-87f3-29b02497cf31,Nuts
866544f3-c4e7-46c3-9af7-5ca8e80a0e86,Tofu
350a4864-9654-4fc1-b933-85b3925ff98d,Juices
6aa012f4-13fd-4a06-ad3c-df34bd311d1d,Vegetables
8fe076c7-cb4f-4155-91b6-260d85f62059,Beans
cbb8f3b6-8262-4bd4-9fa3-99eb6aca8e99,Nursery
976639aa-5ad2-4a64-9924-c4c40c47ef9f,Coffee
aeeb1f64-0abc-4611-9f04-0a4174a114f2,Trees
8cf148d3-fe23-4065-816d-84f5ae90a3f4,Maple
75306216-8eac-4a7d-94db-861660b41438,Crafts
8519b9ac-3be5-4249-bd30-bf832d1c9495,Grains
b6a51091-f782-4a54-b0c1-c8231ef67979,Fruits
b8c67773-0995-4d37-9194-5d1c360c5898,Wine
b6a3bf4d-fdb9-4c5f-bbef-fa86e1b1aa36,Flowers
0484bad3-6cc6-46bc-9f06-46b8fa6835fe,Seafood
cbd11f17-ef8c-4e84-b929-138a17bd3a65,Organic
cfc832a1-7145-4f99-b685-e73a6ca0f14d,Eggs
211f29f0-0ab6-4a78-a846-9f8ef9c9d1a9,Soap
c90c3337-8cda-43e6-b1fc-4456b4761e3d,Prepared
5cb3c27f-8ef4-4f69-a7b3-ee8ab4768d88,Jams
44ae385c-bc25-4e10-963a-63a58fbc15ca,Herbs
ae7a58a6-134e-4b89-bc59-1380cd7ce54e,WildHarvested
9aa3f1ed-280d-44fc-b004-2b807c9b4be7,Poultry
ce7a7f12-8132-49bc-9b69-00d2457963fb,PetFood
7cc2f0ed-ea57-4302-ae82-c7c6c84341b9,Mushrooms
1d81cbc8-7403-4317-b735-d54f8e6d6037,Bakedgoods
9cc3e21f-1739-4904-b813-59ebeb943603,Honey
eba81363-e7d3-4932-8206-0f2b5693e337,Plants
b7b1bad3-d770-4ed7-9ec9-521f341eb1e4,Cheese
f5596c04-47bb-44dc-9b15-22d23bc4cd24,Meat
